Package Name,Package Version,Technology,Technology Version,Github URL
aiohttp,4.0.0a1,python,"3.11,3.12",https://github.com/aio-libs/aiohttp
annotated-doc,0.0.4,python,"3.11,3.12",https://github.com/fastapi/annotated-doc
annotated-types,0.7.0,python,"3.11,3.12",https://github.com/annotated-types/annotated-types
anthropic,0.111.0,python,"3.11,3.12",https://github.com/anthropics/anthropic-sdk-python
anyio,4.14.0,python,"3.11,3.12",https://github.com/agronholm/anyio
astor,0.8.1,python,"3.11,3.12",https://github.com/berkerpeksag/astor
attrs,26.1.0,python,"3.11,3.12",https://github.com/python-attrs/attrs
blake3,1.0.9,python,"3.11,3.12",https://github.com/oconnor663/blake3-py
cachetools,7.1.4,python,"3.11,3.12",https://github.com/tkem/cachetools
cbor2,6.1.2,python,"3.11,3.12",https://github.com/agronholm/cbor2
certifi,2026.6.17,python,"3.11,3.12",https://github.com/certifi/python-certifi
cffi,2.0.0+ppc64le1,python,"3.11,3.12",https://github.com/python-cffi/cffi
charset-normalizer,3.4.7,python,"3.11,3.12",https://github.com/jawah/charset_normalizer
click,8.4.1,python,"3.11,3.12",https://github.com/pallets/click
cloudpickle,3.1.2+ppc64le1,python,"3.11,3.12",https://github.com/cloudpipe/cloudpickle
cmake,4.3.4,python,"3.11,3.12",https://github.com/scikit-build/cmake-python-distributions
compressed-tensors,0.17.0,python,"3.11,3.12",https://github.com/vllm-project/compressed-tensors
cryptography,49.0.0,python,"3.11,3.12",https://github.com/pyca/cryptography
depyf,0.20.0,python,"3.11,3.12",https://github.com/thuml/depyf
detect-installer,0.1.0,python,"3.11,3.12",Could not find GitHub URL
dill,0.4.1+ppc64le1,python,"3.11,3.12",https://github.com/uqfoundation/dill
diskcache,5.6.3,python,"3.11,3.12",https://github.com/grantjenks/python-diskcache
distro,1.9.0+ppc64le1,python,"3.11,3.12",https://github.com/python-distro/distro
dnspython,2.8.0,python,"3.11,3.12",https://github.com/rthalley/dnspython
